BranchKey,Date,SubsidiaryAccountKey,BudgetAmount,ActualAmount
1,2022-01-01,1001001001,28236010,14657088.16
1,2022-01-01,1001002002,8825730,4592582.57
1,2022-01-01,1001003003,512410,307160.06
1,2022-01-01,1002001001,26750,15000
1,2022-01-01,1002002002,17730,10000
1,2022-01-01,2001001001,-170740,-97745.24
1,2022-01-01,2003001001,-151840,-76442.97
1,2022-01-01,2003002002,-74750,-41692.75
1,2022-01-01,2004001001,-6718080,-3524729.54
1,2022-01-01,2005001001,-2876980,-1488219.14
1,2022-01-01,2005002002,-595510,-323100.21
1,2022-01-01,2005003003,-69210,-29729.7
1,2022-01-01,4001001001,-4904472.11,-2686627.17
1,2022-01-01,4001002007,-388564.89,-214930.17
1,2022-01-01,4001003010,-309661.4,-161197.62
1,2022-01-01,4002001001,-5632970,-2934596.36
1,2022-01-01,4002002002,-2161320,-1195576.19
1,2022-01-01,4002003003,-3845740,-1956397.53
1,2022-01-01,4003001001,-513200,-326066.24
1,2022-01-01,4003002002,-498980,-217377.37
1,2022-01-01,4003003003,-2204710,-1304265.08
1,2022-01-01,4003004004,-24800,-10868.72
1,2022-01-01,6001001001,-1091844.65,-671656.78
1,2022-01-01,6001002007,-86662.15,-53732.53
1,2022-01-01,6001003010,-69605.65,-40299.4
1,2022-01-01,6002001001,-202640,-108688.6
1,2022-01-01,6002002002,-93160,-43475.37
1,2022-01-01,6003001001,-47160,-24998.27
1,2022-01-01,6003002002,-92700,-54344.2
1,2022-01-01,6003003003,-91980,-49996.68
1,2022-01-01,6004001001,-232300,-115209.95
1,2022-01-01,6005001001,-416430,-222811.82
1,2022-01-01,6005002002,-88460,-48909.81
1,2022-01-01,6005003003,-14920,-9781.83
1,2022-01-01,6005004004,-166850,-83690.2
1,2022-01-01,6005005005,-24530,-16303.16
1,2022-01-01,6005006006,-129930,-76081.99
1,2022-01-01,8001001001,-4030,-2330.22
1,2022-01-01,8001002002,-3900,-2604.36
1,2022-01-01,8002001001,25000,45234.02
1,2022-01-01,8002002002,55690,52087.66
1,2022-01-01,8003001001,-3710,-2604.36
1,2022-01-01,10001001001,-432110,-264354.72
1,2022-01-01,10001002002,-402550,-193860.12
1,2022-02-01,1001001001,28236010,16437699.39
1,2022-02-01,1001002002,8825730,5104641.56
1,2022-02-01,1001003003,512410,313992.15
1,2022-02-01,1002001001,26750,15000
1,2022-02-01,1002002002,17730,10000
1,2022-02-01,2001001001,-170740,-77752.2
1,2022-02-01,2003001001,-151840,-86185.38
1,2022-02-01,2003002002,-74750,-43605.86
1,2022-02-01,2004001001,-6718080,-3938639.96
1,2022-02-01,2005001001,-2876980,-1662981.32
1,2022-02-01,2005002002,-595510,-361042
1,2022-02-01,2005003003,-69210,-42104.07
1,2022-02-01,4001001001,-4904472.11,-3002118.89
1,2022-02-01,4001002007,-388564.89,-240169.5
1,2022-02-01,4001003010,-309661.4,-210148.31
1,2022-02-01,4002001001,-5632970,-3047319.25
1,2022-02-01,4002002002,-2161320,-1340820.41
1,2022-02-01,4002003003,-3845740,-2437855.36
1,2022-02-01,4003001001,-513200,-365678.3
1,2022-02-01,4003002002,-498980,-365678.17
1,2022-02-01,4003003003,-2204710,-1462713.28
1,2022-02-01,4003004004,-24800,-12189.11
1,2022-02-01,6001001001,-1091844.65,-750529.71
1,2022-02-01,6001002007,-86662.15,-60042.37
1,2022-02-01,6001003010,-69605.65,-52537.07
1,2022-02-01,6002001001,-202640,-121892.61
1,2022-02-01,6002002002,-93160,-48756.97
1,2022-02-01,6003001001,-47160,-25597.34
1,2022-02-01,6003002002,-92700,-49975.88
1,2022-02-01,6003003003,-91980,-56070.53
1,2022-02-01,6004001001,-232300,-136519.79
1,2022-02-01,6005001001,-416430,-255974.69
1,2022-02-01,6005002002,-88460,-49975.89
1,2022-02-01,6005003003,-14920,-10970.2
1,2022-02-01,6005004004,-166850,-88981.56
1,2022-02-01,6005005005,-24530,-18283.76
1,2022-02-01,6005006006,-129930,-75573.36
1,2022-02-01,8001001001,-4030,-2910.19
1,2022-02-01,8001002002,-3900,-2757.02
1,2022-02-01,8002001001,25000,-4595.09
1,2022-02-01,8002002002,55690,30633.85
1,2022-02-01,8003001001,-3710,-1072.16
1,2022-02-01,10001001001,-432110,-229754
1,2022-02-01,10001002002,-402550,-236318.4
